title,original_air_date,written_by,season,episode,us_viewers_in_millions,imdb_rating
"Moe Goes from Rags to Riches","2012-01-29","Tim Long","23","12","5.12","5.80"
"The Daughter Also Rises","2012-02-12","Rob LaZebnik","23","13","4.26","6.30"
"At Long Last Leave","2012-02-19","Michael Price","23","14","5.77","6.90"
"Exit Through the Kwik-E-Mart","2012-03-04","Marc Wilmore","23","15","5.09","6.80"
"How I Wet Your Mother","2012-03-11","Billy Kimball & Ian Maxtone-Graham","23","16","4.97","7.20"
"Them, Robot","2012-03-18","Michael Price","23","17","5.25","6.90"
"Beware My Cheating Bart","2012-04-15","Ben Joseph","23","18","4.86","7.10"
"A Totally Fun Thing That Bart Will Never Do Again","2012-04-29","Matt Warburton","23","19","5.00","7.60"
"The Spy Who Learned Me","2012-05-06","Marc Wilmore","23","20","4.84","6.80"
"Ned 'n' Edna's Blend Agenda","2012-05-13","Jeff Westbrook","23","21","4.07","6.60"
"Lisa Goes Gaga","2012-05-20","Tim Long","23","22","4.82","4.00"
"Moonshine River","2012-09-30","Tim Long","24","1","8.08","6.30"
"Treehouse of Horror XXIII","2012-10-07","David Mandel & Brian Kelley","24","2","6.57","7.20"
"Adventures in Baby-Getting","2012-11-04","Bill Odenkirk","24","3","5.65","6.80"
"Gone Abie Gone","2012-11-11","Joel H. Cohen","24","4","6.86","6.70"
"Penny-Wiseguys","2012-11-18","Michael Price","24","5","5.06","6.30"
"A Tree Grows in Springfield","2012-11-25","Stephanie Gillis","24","6","7.46","6.30"
"The Day the Earth Stood Cool","2012-12-09","Matt Selman","24","7","7.44","6.90"
"To Cur with Love","2012-12-16","Carolyn Omine","24","8","3.77","7.20"
"Homer Goes to Prep School","2013-01-06","Brian Kelley","24","9","8.97","6.70"
"A Test Before Trying","2013-01-13","Joel H. Cohen","24","10","5.04","6.90"
"The Changing of the Guardian","2013-01-27","Rob LaZebnik","24","11","5.23","6.40"
"Love Is a Many-Splintered Thing","2013-02-10","Tim Long","24","12","4.19","6.20"
"Hardly Kirk-ing","2013-02-17","Tom Gammill & Max Pross","24","13","4.57","7.00"
"Gorgeous Grampa","2013-03-03","Matt Selman","24","14","4.66","6.20"
"Black Eyed, Please","2013-03-10","John Frink","24","15","4.85","6.90"
"Dark Knight Court","2013-03-17","Billy Kimball & Ian Maxtone-Graham","24","16","4.89","7.10"
"What Animated Women Want","2013-04-14","J. Stewart Burns","24","17","4.11","6.40"
"Pulpit Friction","2013-04-28","Bill Odenkirk","24","18","4.54","6.40"
"Whiskey Business","2013-05-05","Valentina L. Garza","24","19","4.43","6.70"
"The Fabulous Faker Boy","2013-05-12","Brian McConnachie","24","20","4.16","6.20"
"The Saga of Carl","2013-05-19","Eric Kaplan","24","21","4.01","7.00"
"Dangers on a Train","2013-05-19","Michael Price","24","22","4.52","7.00"
"Homerland","2013-09-29","Stephanie Gillis","25","1","6.37","6.90"
"Treehouse of Horror XXIV","2013-10-06","Jeff Westbrook","25","2","6.42","6.90"
"Four Regrettings and a Funeral","2013-11-03","Marc Wilmore","25","3","5.43","6.40"
"YOLO","2013-11-10","Michael Nobori","25","4","4.20","6.50"
"Labor Pains","2013-11-17","Don Payne & Mitchell H. Glazer","25","5","4.08","6.80"
"The Kid Is All Right","2013-11-24","Tim Long","25","6","6.78","6.40"
"Yellow Subterfuge","2013-12-08","Joel H. Cohen","25","7","6.85","6.70"
"White Christmas Blues","2013-12-15","Don Payne","25","8","8.48","6.40"
"Steal This Episode","2014-01-05","J. Stewart Burns","25","9","12.04","7.70"
"Married to the Blob","2014-01-12","Tim Long","25","10","4.83","6.90"
"Specs and the City","2014-01-26","Brian Kelley","25","11","3.87","7.10"
"Diggs","2014-03-09","Dan Greaney & Allen Glazier","25","12","2.69","6.30"
"The Man Who Grew Too Much","2014-03-09","Jeff Westbrook","25","13","3.75","6.60"
"The Winter of His Content","2014-03-16","Kevin Curran","25","14","4.02","6.60"
"The War of Art","2014-03-23","Rob LaZebnik","25","15","3.98","6.90"
"You Don't Have to Live Like a Referee","2014-03-30","Michael Price","25","16","3.91","6.70"
"Luca$","2014-04-06","Carolyn Omine","25","17","4.30","6.30"
"Days of Future Future","2014-04-13","J. Stewart Burns","25","18","3.64","7.00"
"What to Expect When Bart's Expecting","2014-04-27","John Frink","25","19","3.45","5.80"
"Brick Like Me","2014-05-04","Brian Kelley","25","20","4.39","7.90"
"Pay Pal","2014-05-11","David H. Steinberg","25","21","3.66","6.50"
"The Yellow Badge of Cowardge","2014-05-18","Billy Kimball & Ian Maxtone-Graham","25","22","3.28","6.60"
"Clown in the Dumps","2014-09-28","Joel H. Cohen","26","1","8.53","5.70"
"The Wreck of the Relationship","2014-10-05","Jeff Westbrook","26","2","4.27","6.70"
"Super Franchise Me","2014-10-12","Bill Odenkirk","26","3","7.33","6.40"
"Treehouse of Horror XXV","2014-10-19","Stephanie Gillis","26","4","7.76","7.40"
"Opposites A-Frack","2014-11-02","Valentina L. Garza","26","5","4.22","6.30"
"Simpsorama","2014-11-09","J. Stewart Burns","26","6","6.70","7.90"
"Blazed and Confused","2014-11-16","Carolyn Omine & William Wright","26","7","6.70","6.80"
"Covercraft","2014-11-23","Matt Selman","26","8","3.45","6.40"
"I Won't Be Home for Christmas","2014-12-07","Al Jean","26","9","6.52","6.80"
"The Man Who Came to Be Dinner","2015-01-04","Al Jean & David Mirkin","26","10","10.62","6.60"
"Bart's New Friend","2015-01-11","Judd Apatow","26","11","4.28","7.10"
"The Musk Who Fell to Earth","2015-01-25","Neil Campbell","26","12","3.29","5.50"
"Walking Big & Tall","2015-02-08","Michael Price","26","13","2.78","6.20"
"My Fare Lady","2015-02-15","Marc Wilmore","26","14","2.67","6.50"
"The Princess Guide","2015-03-01","Brian Kelley","26","15","3.93","6.40"
"Sky Police","2015-03-08","Matt Selman","26","16","3.79","6.70"
"Waiting for Duffman","2015-03-15","John Frink","26","17","3.59","6.60"
"Peeping Mom","2015-04-19","John Frink","26","18","3.23","6.60"
"The Kids Are All Fight","2015-04-26","Rob LaZebnik","26","19","3.33","6.70"
"Let's Go Fly a Coot","2015-05-03","Jeff Westbrook","26","20","3.12","6.00"
"Bull-E","2015-05-10","Tim Long","26","21","2.77","6.50"
"Mathlete's Feat","2015-05-17","Michael Price","26","22","2.82","6.70"
"Every Man's Dream","2015-09-27","J. Stewart Burns","27","1","3.28","5.70"
"Cue Detective","2015-10-04","Joel H. Cohen","27","2","6.02","6.50"
"Puffless","2015-10-11","J. Stewart Burns","27","3","3.31","6.90"
"Halloween of Horror","2015-10-18","Carolyn Omine","27","4","3.69","7.50"
"Treehouse of Horror XXVI","2015-10-25","Joel H. Cohen","27","5","6.75","6.50"
"Friend with Benefit","2015-11-08","Rob LaZebnik","27","6","3.48","6.60"
"Lisa with an 'S'","2015-11-22","Stephanie Gillis","27","7","5.64","5.90"
"Paths of Glory","2015-12-06","Michael Ferris","27","8","5.53","6.70"
"Barthood","2015-12-13","Dan Greaney","27","9","5.97","8.40"
"The Girl Code","2016-01-03","Rob LaZebnik","27","10","4.41","6.50"
"Teenage Mutant Milk-Caused Hurdles","2016-01-10","Joel H. Cohen","27","11","8.33","6.50"
"Much Apu About Something","2016-01-17","Michael Price","27","12","3.95","6.50"
"Love Is in the N2-O2-Ar-CO2-Ne-He-CH4","2016-02-14","John Frink","27","13","2.89","6.30"
"Gal of Constant Sorrow","2016-02-21","Carolyn Omine","27","14","3.10","6.40"
"Lisa the Veterinarian","2016-03-06","Dan Vebber","27","15","3.09","6.30"
"The Marge-ian Chronicles","2016-03-13","Brian Kelley","27","16","3.07","7.00"
"The Burns Cage","2016-04-03","Rob LaZebnik","27","17","2.32","6.30"
"How Lisa Got Her Marge Back","2016-04-10","Jeff Martin","27","18","2.55","6.20"
"Fland Canyon","2016-04-24","J. Stewart Burns","27","19","2.77","7.10"
"To Courier with Love","2016-05-08","Bill Odenkirk","27","20","2.52","6.60"
"Simprovised","2016-05-15","John Frink","27","21","2.80","6.20"
"Orange Is the New Yellow","2016-05-22","Eric Horsted","27","22","2.54","6.60"
"Monty Burns' Fleeing Circus","2016-09-25","Tom Gammill & Max Pross","28","1","3.36","6.10"
"Friends and Family","2016-10-02","J. Stewart Burns","28","2","6.00","6.60"
"The Town","2016-10-09","Dave King","28","3","3.22","7.00"
"Treehouse of Horror XXVII","2016-10-16","Joel H. Cohen","28","4","7.44","6.80"
"Trust but Clarify","2016-10-23","Harry Shearer","28","5","3.36","6.30"
"There Will Be Buds","2016-11-06","Matt Selman","28","6","3.14","6.60"
"Havana Wild Weekend","2016-11-13","Deb Lacusta, Dan Castellaneta & Peter Tilden","28","7","7.13","6.20"
"Dad Behavior","2016-11-20","Ryan Koh","28","8","2.88","6.50"
"The Last Traction Hero","2016-12-04","Bill Odenkirk","28","9","5.77","6.30"
"The Nightmare After Krustmas","2016-12-11","Jeff Westbrook","28","10","5.60","5.90"
"Pork and Burns","2017-01-08","Rob LaZebnik","28","11","8.19","6.70"
"The Great Phatsby' (Vol. I & Vol. II) ","2017-01-15","Dan GreaneyMatt Selman (part 2 only)","28","12","6.90","6.10"
"Fatzcarraldo","2017-02-12","Michael Price","28","14","2.40","6.30"
"The Cad and the Hat","2017-02-19","Ron Zimmerman","28","15","2.44","6.40"
"Kamp Krustier","2017-03-05","David M. Stern","28","16","2.56","6.50"
"22 for 30","2017-03-12","Joel H. Cohen","28","17","2.61","6.50"
"A Father's Watch","2017-03-19","Simon Rich","28","18","2.40","6.70"
"The Caper Chase","2017-04-02","Jeff Westbrook","28","19","2.13","6.10"
"Looking for Mr. Goodbart","2017-04-30","Carolyn Omine","28","20","2.30","6.80"
"Moho House","2017-05-07","Jeff Martin","28","21","2.34","6.10"
"Dogtown","2017-05-21","J. Stewart Burns","28","22","2.15","6.40"
"The Serfsons","2017-10-01","Brian Kelley","29","1","3.26","6.80"
"Springfield Splendor","2017-10-08","Tim Long & Miranda Thompson","29","2","5.25","6.60"
"Whistler's Father","2017-10-15","Tom Gammill & Max Pross","29","3","2.91","6.10"
"Treehouse of Horror XXVIII","2017-10-22","John Frink","29","4","3.66","7.10"
"Grampy Can Ya Hear Me","2017-11-05","Bill Odenkirk","29","5","2.86","6.40"
"The Old Blue Mayor She Ain't What She Used to Be","2017-11-12","Tom Gammill & Max Pross","29","6","4.75","6.30"
"Singin' in the Lane","2017-11-19","Ryan Koh","29","7","2.67","6.40"
"Mr. Lisa's Opus","2017-12-03","Al Jean","29","8","4.28","6.80"
"Gone Boy","2017-12-10","John Frink","29","9","6.06","7.20"
"Haw-Haw Land","2018-01-07","Tim Long & Miranda Thompson","29","10","6.95","6.50"
"Frink Gets Testy","2018-01-14","Dan Vebber","29","11","8.04","6.20"
"Homer Is Where the Art Isn't","2018-03-18","Kevin Curran","29","12","2.10","6.70"
"3 Scenes Plus a Tag from a Marriage","2018-03-25","Tom Gammill & Max Pross","29","13","2.15","6.60"
"Fears of a Clown","2018-04-01","Michael Price","29","14","2.06","6.00"
"No Good Read Goes Unpunished","2018-04-08","Jeff Westbrook","29","15","2.15","6.30"
"King Leer","2018-04-15","Daniel Furlong & Zach Posner","29","16","2.26","6.30"
"Lisa Gets the Blues","2018-04-22","David Silverman & Brian Kelley","29","17","2.19","6.70"
"Forgive and Regret","2018-04-29","Bill Odenkirk","29","18","2.47","7.00"
"Left Behind","2018-05-06","Story by : Al JeanTeleplay by : Joel H. Cohen & John Frink","29","19","2.15","6.60"
"Throw Grampa from the Dane","2018-05-13","Rob LaZebnik","29","20","2.14","6.70"
"Flanders' Ladder","2018-05-20","J. Stewart Burns","29","21","2.10","7.60"
"Stark Raving Dad","1991-09-19","Al Jean & Mike Reiss","3","1","22.9","8.60"
"Mr. Lisa Goes to Washington","1991-09-26","George Meyer","3","2","20.2","7.70"
"When Flanders Failed","1991-10-03","Jon Vitti","3","3","22.8","8.20"
"Bart the Murderer","1991-10-10","John Swartzwelder","3","4","20.8","8.60"
"Homer Defined","1991-10-17","Howard Gewirtz","3","5","20.6","8.40"
"Like Father, Like Clown","1991-10-24","Jay Kogen & Wallace Wolodarsky","3","6","20.2","7.60"
"Treehouse of Horror II","1991-10-31","Al Jean & Mike Reiss","3","7","20.0","8.20"
"Lisa's Pony","1991-11-07","Al Jean & Mike Reiss","3","8","23.0","7.90"
"Saturdays of Thunder","1991-11-14","Ken Levine & David Isaacs","3","9","24.7","7.90"
"Flaming Moe's","1991-11-21","Robert Cohen","3","10","23.9","8.80"
"Burns Verkaufen der Kraftwerk","1991-12-05","Jon Vitti","3","11","21.1","8.20"
"I Married Marge","1991-12-26","Jeff Martin","3","12","21.9","8.30"
"Radio Bart","1992-01-09","Jon Vitti","3","13","24.2","8.50"
"Lisa the Greek","1992-01-23","Jay Kogen & Wallace Wolodarsky","3","14","23.2","8.00"
"Homer Alone","1992-02-06","David M. Stern","3","15","23.7","8.00"
"Bart the Lover","1992-02-13","Jon Vitti","3","16","20.5","8.30"
"Homer at the Bat","1992-02-20","John Swartzwelder","3","17","24.6","8.70"
"Separate Vocations","1992-02-27","George Meyer","3","18","23.7","8.20"
"Dog of Death","1992-03-12","John Swartzwelder","3","19","23.4","7.70"
"Colonel Homer","1992-03-26","Matt Groening","3","20","25.5","8.00"
"Black Widower","1992-04-09","Story by : Thomas Chastain & Sam SimonTeleplay by : Jon Vitti","3","21","17.3","8.30"
"The Otto Show","1992-04-23","Jeff Martin","3","22","17.5","7.70"
"Bart's Friend Falls in Love","1992-05-07","Jay Kogen & Wallace Wolodarsky","3","23","19.5","7.70"
"Brother, Can You Spare Two Dimes?","1992-08-27","John Swartzwelder","3","24","17.2","8.20"
"Bart's Not Dead","2018-09-30","Stephanie Gillis","30","1","3.24","6.30"
"Heartbreak Hotel","2018-10-07","Renee Ridgeley & Matt Selman","30","2","4.60","6.10"
"My Way or the Highway to Heaven","2018-10-14","Dan Castellaneta, Deb Lacusta & Vince Waldron","30","3","2.52","6.20"
"Treehouse of Horror XXIX","2018-10-21","Joel H. Cohen","30","4","2.95","6.00"
"Baby You Can't Drive My Car","2018-11-04","Rob LaZebnik","30","5","5.08","7.00"
"From Russia Without Love","2018-11-11","Michael Ferris","30","6","2.35","6.50"
"Werking Mom","2018-11-18","Carolyn Omine & Robin Sayers","30","7","4.34","5.80"
"Krusty the Clown","2018-11-25","Ryan Koh","30","8","2.11","6.50"
"Daddicus Finch","2018-12-02","Al Jean","30","9","4.33","6.80"
"'Tis the 30th Season","2018-12-09","Story by : Jeff WestbrookTeleplay by : John Frink & Joel H. Cohen","30","10","7.53","6.70"
"Mad About the Toy","2019-01-06","Michael Price","30","11","2.33","6.00"
"The Girl on the Bus","2019-01-13","Joel H. Cohen","30","12","8.20","6.50"
"I'm Dancing as Fat as I Can","2019-02-10","Jane Becker","30","13","1.75","6.80"
"The Clown Stays in the Picture","2019-02-17","Matt Selman","30","14","2.75","6.20"
"101 Mitigations","2019-03-03","Story by : Rob LaZebnikTeleplay by : Brian Kelley & Dan Vebber","30","15","2.25","6.40"
"I Want You (She's So Heavy)","2019-03-10","Jeff Westbrook","30","16","2.21","5.80"
"E My Sports","2019-03-17","Rob LaZebnik","30","17","2.08","6.40"
"Bart vs. Itchy & Scratchy","2019-03-24","Megan Amram","30","18","1.99","5.00"
"Girl's in the Band","2019-03-31","Nancy Cartwright","30","19","2.07","6.40"
"I'm Just a Girl Who Can't Say D'oh","2019-04-07","Jeff Martin & Jenna Martin","30","20","1.61","5.60"
"D'oh Canada","2019-04-28","Tim Long & Miranda Thompson","30","21","1.93","5.80"
"Woo-Hoo Dunnit?","2019-05-05","Brian Kelley","30","22","1.79","6.20"
"Crystal Blue-Haired Persuasion","2019-05-12","Megan Amram","30","23","1.50","6.10"
"The Winter of Our Monetized Content","2019-09-29","Ryan Koh","31","1","2.33","5.90"
"Go Big or Go Homer","2019-10-06","John Frink","31","2","5.63","6.00"
"The Fat Blue Line","2019-10-13","Bill Odenkirk","31","3","2.13","6.50"
"Treehouse of Horror XXX","2019-10-20","J. Stewart Burns","31","4","5.42","6.80"
"Gorillas on the Mast","2019-11-03","Max Cohn","31","5","2.02","6.20"
"Marge the Lumberjill","2019-11-10","Ryan Koh","31","6","5.00","5.60"
"Livin La Pura Vida","2019-11-17","Brian Kelley","31","7","2.08","6.50"
"Thanksgiving of Horror","2019-11-24","Dan Vebber","31","8","5.42","7.30"
"Todd, Todd, Why Hast Thou Forsaken Me?","2019-12-01","Tim Long & Miranda Thompson","31","9","1.99","6.50"
"Bobby, It's Cold Outside","2019-12-15","John Frink & Jeff Westbrook","31","10","4.97","6.50"
"Hail to the Teeth","2020-01-05","Elisabeth Kiernan Averick","31","11","1.81","6.00"
"The Miseducation of Lisa Simpson","2020-02-16","J. Stewart Burns","31","12","1.95","6.50"
"Frinkcoin","2020-02-23","Rob LaZebnik","31","13","1.84","6.00"
"Bart the Bad Guy","2020-03-01","Dan Vebber","31","14","1.66","7.20"
"Screenless","2020-03-08","J. Stewart Burns","31","15","1.63","6.50"
"Better Off Ned","2020-03-15","Story by : Al JeanTeleplay by : Joel H. Cohen & Jeff Westbrook","31","16","1.70","6.40"
"Highway to Well","2020-03-22","Carolyn Omine","31","17","1.66","6.90"
"The Incredible Lightness of Being a Baby","2020-04-19","Tom Gammill & Max Pross","31","18","1.58","6.40"
"Warrin' Priests' (Parts One and Two) ","2020-04-26","Pete Holmes","31","19","1.35","6.10"
"The Hateful Eight-Year-Olds","2020-05-10","Joel H. Cohen","31","21","1.40","5.80"
"The Way of the Dog","2020-05-17","Carolyn Omine","31","22","1.89","6.50"
"Undercover Burns","2020-09-27","David Cryan","32","1","4.44","6.50"
"I, Carumbus","2020-10-04","Cesar Mazariegos","32","2","1.51","6.80"
"Now Museum, Now You Don't","2020-10-11","Dan Greaney","32","3","1.36","5.80"
"Treehouse of Horror XXXI","2020-11-01","Julia Prescott","32","4","4.93","6.30"
"The 7 Beer Itch","2020-11-08","Story by : Al JeanTeleplay by : Joel H. Cohen & John Frink","32","5","1.74","5.70"
"Podcast News","2020-11-15","David X. Cohen","32","6","3.50","6.70"
"Three Dreams Denied","2020-11-22","Danielle Weisberg","32","7","4.41","6.30"
"The Road to Cincinnati","2020-11-29","Jeff Westbrook","32","8","1.63","6.60"
"Sorry Not Sorry","2020-12-06","Nell Scovell","32","9","1.66","6.30"
"A Springfield Summer Christmas for Christmas","2020-12-13","Jessica Conrad","32","10","3.92","6.30"
"The Dad-Feelings Limited","2021-01-03","Ryan Koh","32","11","1.89","7.10"
"Diary Queen","2021-02-21","Jeff Westbrook","32","12","1.43","6.90"
"Wad Goals","2021-02-28","Brian Kelley","32","13","1.24","6.30"
"Yokel Hero","2021-03-07","Jeff Martin & Samantha Martin","32","14","1.38","5.60"
"Do Pizza Bots Dream of Electric Guitars","2021-03-14","Michael Price","32","15","1.43","5.90"
"Manger Things","2021-03-21","Rob LaZebnik","32","16","1.28","6.40"
"Uncut Femmes","2021-03-28","Christine Nangle","32","17","1.22","6.50"
"Burger Kings","2021-04-11","Rob LaZebnik","32","18","1.24","6.70"
"Panic on the Streets of Springfield","2021-04-18","Tim Long","32","19","1.31","6.30"
"Mother and Child Reunion","2021-05-09","J. Stewart Burns","32","20","1.11","6.70"
"The Man from G.R.A.M.P.A.","2021-05-16","Carolyn Omine","32","21","1.06","6.30"
"The Last Barfighter","2021-05-23","Dan Vebber","32","22","1.02","7.40"
"The Star of the Backstage","2021-09-26","Elisabeth Kiernan Averick","33","1","3.48","4.40"
"Bart's in Jail!","2021-10-03","Nick Dahan","33","2","1.48","7.00"
"Treehouse of Horror XXXII","2021-10-10","John Frink","33","3","3.94","6.70"
"The Wayz We Were","2021-10-17","Joel H. Cohen","33","4","1.51","6.80"
"Lisa's Belly","2021-10-24","Juliet Kaufman","33","5","1.83","6.80"
"A Serious Flanders' (Parts 1 & 2) ","2021-11-07","Cesar Mazariegos","33","6","3.47","8.20"
"Portrait of a Lackey on Fire","2021-11-21","Rob LaZebnik & Johnny LaZebnik","33","8","3.97","8.20"
"Mothers and Other Strangers","2021-11-28","Al Jean","33","9","3.61","6.20"
"A Made Maggie","2021-12-19","Elisabeth Kiernan Averick","33","10","3.90","6.30"
"The Longest Marge","2022-01-02","Brian Kelley","33","11","2.02","6.90"
"Pixelated and Afraid","2022-02-27","John Frink","33","12","1.41","5.80"
"Boyz N the Highlands","2022-03-06","Dan Vebber","33","13","1.53","7.70"
"You Won't Believe What This Episode Is About – Act Three Will Shock You!","2022-03-13","Christine Nangle","33","14","1.14","6.70"
"Bart the Cool Kid","2022-03-20","Ryan Koh","33","15","1.04","6.50"
"Pretty Whittle Liar","2022-03-27","Joel H. Cohen","33","16","1.10","6.40"
"The Sound of Bleeding Gums","2022-04-10","Loni Steele Sosthand","33","17","0.95","6.20"
"My Octopus and a Teacher","2022-04-24","Carolyn Omine","33","18","0.97","5.90"
"Girls Just Shauna Have Fun","2022-05-01","Jeff Westbrook","33","19","1.03","6.60"
"Marge the Meanie","2022-05-08","Megan Amram","33","20","0.85","6.60"
"Meat Is Murder","2022-05-15","Michael Price","33","21","1.00","6.70"
"Poorhouse Rock","2022-05-22","Tim Long","33","22","0.93","6.00"
"Habeas Tortoise","2022-09-25","Broti Gupta","34","1","4.15","6.50"
"One Angry Lisa","2022-10-02","Jessica Conrad","34","2","1.46","6.30"
"Lisa the Boy Scout","2022-10-09","Dan Greaney","34","3","3.43","6.60"
"The King of Nice","2022-10-16","Jessica Conrad","34","4","1.16","6.50"
"Not It","2022-10-23","Cesar Mazariegos","34","5","3.63","7.50"
"Treehouse of Horror XXXIII","2022-10-30","Carolyn Omine & Ryan Koh & Matt Selman","34","6","3.95","8.30"
"From Beer to Paternity","2022-11-13","Christine Nangle","34","7","4.77","6.40"
"Step Brother from the Same Planet","2022-11-20","Dan Vebber","34","8","1.21","6.50"
"When Nelson Met Lisa","2022-11-27","Ryan Koh","34","9","1.53","5.90"
"Game Done Changed","2022-12-04","Ryan Koh","34","10","1.16","6.60"
"Top Goon","2022-12-11","Joel H. Cohen","34","11","3.42","6.80"
"My Life as a Vlog","2023-01-01","Jessica Conrad","34","12","1.02","5.90"
"The Many Saints of Springfield","2023-02-19","Al Jean","34","13","1.37","6.50"
"Carl Carlson Rides Again","2023-02-26","Loni Steele Sosthand","34","14","1.18","6.10"
"Bartless","2023-03-05","John Frink","34","15","0.93","6.70"
"Hostile Kirk Place","2023-03-12","Michael Price","34","16","0.77","6.00"
"Pin Gal","2023-03-19","Jeff Westbrook","34","17","0.86","6.40"
"Fan-ily Feud","2023-04-23","Broti Gupta","34","18","1.00","5.20"
"Write Off This Episode","2023-04-30","J. Stewart Burns","34","19","0.89","5.80"
"The Very Hungry Caterpillars","2023-05-07","Brian Kelley","34","20","0.82","6.70"
"Clown V. Board of Education","2023-05-14","Jeff Westbrook","34","21","0.77","6.30"
"Homer's Adventures Through the Windshield Glass","2023-05-21","Tim Long","34","22","0.87","5.90"
"Kamp Krusty","1992-09-24","David M. Stern","4","1","21.8","8.50"
"A Streetcar Named Marge","1992-10-01","Jeff Martin","4","2","18.3","8.10"
"Homer the Heretic","1992-10-08","George Meyer","4","3","19.3","8.90"
"Lisa the Beauty Queen","1992-10-15","Jeff Martin","4","4","19.0","7.70"
"Treehouse of Horror III","1992-10-29","Al Jean & Mike Reiss","4","5","25.1","8.40"
"Itchy & Scratchy: The Movie","1992-11-03","John Swartzwelder","4","6","20.1","8.20"
"Marge Gets a Job","1992-11-05","Bill Oakley & Josh Weinstein","4","7","22.9","7.80"
"New Kid on the Block","1992-11-12","Conan O'Brien","4","8","23.1","8.20"
"Mr. Plow","1992-11-19","Jon Vitti","4","9","24.0","8.80"
"Lisa's First Word","1992-12-03","Jeff Martin","4","10","28.6","8.70"
"Homer's Triple Bypass","1992-12-17","Gary Apple & Michael Carrington","4","11","23.6","8.60"
"Marge vs. the Monorail","1993-01-14","Conan O'Brien","4","12","23.0","9.10"
"Selma's Choice","1993-01-21","David M. Stern","4","13","24.5","8.00"
"Brother from the Same Planet","1993-02-04","Jon Vitti","4","14","23.8","8.10"
"I Love Lisa","1993-02-11","Frank Mula","4","15","25.2","8.40"
"Duffless","1993-02-18","David M. Stern","4","16","25.7","8.30"
"Last Exit to Springfield","1993-03-11","Jay Kogen & Wallace Wolodarsky","4","17","22.4","9.00"
"So It's Come to This: A Simpsons Clip Show","1993-04-01","Jon Vitti","4","18","25.5","7.00"
"The Front","1993-04-15","Adam I. Lapidus","4","19","20.1","8.10"
"Whacking Day","1993-04-29","John Swartzwelder","4","20","20.0","8.10"
"Marge in Chains","1993-05-06","Bill Oakley & Josh Weinstein","4","21","17.3","7.70"
"Krusty Gets Kancelled","1993-05-13","John Swartzwelder","4","22","19.4","8.10"
"Homer's Barbershop Quartet","1993-09-30","Jeff Martin","5","1","19.9","8.50"
"Cape Feare","1993-10-07","Jon Vitti","5","2","20.0","9.20"
"Homer Goes to College","1993-10-14","Conan O'Brien","5","3","18.1","8.60"
"Rosebud","1993-10-21","John Swartzwelder","5","4","19.5","8.80"
"Treehouse of Horror IV","1993-10-28","Conan O'Brien (wraparounds)","5","5","24.0","8.80"
"Marge on the Lam","1993-11-04","Bill Canterbury","5","6","21.7","8.00"
"Bart's Inner Child","1993-11-11","George Meyer","5","7","18.7","7.60"
"Boy-Scoutz 'n the Hood","1993-11-18","Dan McGrath","5","8","20.1","8.60"
"The Last Temptation of Homer","1993-12-09","Frank Mula","5","9","20.6","8.50"
"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)","1993-12-16","Bill Oakley & Josh Weinstein","5","10","17.9","8.60"
"Homer the Vigilante","1994-01-06","John Swartzwelder","5","11","20.1","8.20"
"Bart Gets Famous","1994-02-03","John Swartzwelder","5","12","20.0","8.10"
"Homer and Apu","1994-02-10","Greg Daniels","5","13","21.8","8.20"
"Lisa vs. Malibu Stacy","1994-02-17","Bill Oakley & Josh Weinstein","5","14","19.9","8.10"
"Deep Space Homer","1994-02-24","David Mirkin","5","15","18.2","8.80"
"Homer Loves Flanders","1994-03-17","David Richardson","5","16","18.0","8.50"
"Bart Gets an Elephant","1994-03-31","John Swartzwelder","5","17","17.0","7.80"
"Burns' Heir","1994-04-14","Jace Richdale","5","18","14.7","8.30"
"Sweet Seymour Skinner's Baadasssss Song","1994-04-28","Bill Oakley & Josh Weinstein","5","19","19.7","8.30"
"The Boy Who Knew Too Much","1994-05-05","John Swartzwelder","5","20","15.5","8.30"
"Lady Bouvier's Lover","1994-05-12","Bill Oakley & Josh Weinstein","5","21","15.1","7.50"
"Secrets of a Successful Marriage","1994-05-19","Greg Daniels","5","22","15.6","8.00"
"Bart of Darkness","1994-09-04","Dan McGrath","6","1","15.1","8.70"
"Lisa's Rival","1994-09-11","Mike Scully","6","2","16.7","8.10"
"Another Simpsons Clip Show","1994-09-25","Jon Vitti","6","3","13.5","5.80"
"Itchy & Scratchy Land","1994-10-02","John Swartzwelder","6","4","14.8","8.60"
"Sideshow Bob Roberts","1994-10-09","Bill Oakley & Josh Weinstein","6","5","14.4","8.20"
"Treehouse of Horror V","1994-10-30","Bob Kushell","6","6","22.2","9.20"
"Bart's Girlfriend","1994-11-06","Jonathan Collier","6","7","15.3","8.00"
"Lisa on Ice","1994-11-13","Mike Scully","6","8","17.9","8.60"
"Homer Badman","1994-11-27","Greg Daniels","6","9","15.5","8.90"
"Grampa vs. Sexual Inadequacy","1994-12-04","Bill Oakley & Josh Weinstein","6","10","14.1","8.00"
"Fear of Flying","1994-12-18","David Sacks","6","11","15.6","7.70"
"Homer the Great","1995-01-08","John Swartzwelder","6","12","20.1","9.00"
"And Maggie Makes Three","1995-01-22","Jennifer Crittenden","6","13","17.3","8.80"
"Bart's Comet","1995-02-05","John Swartzwelder","6","14","18.7","8.60"
